county,make,month,model_year,vehicle_count
Benton,AUDI,1,2017,2
Benton,AUDI,1,2020,1
Benton,AUDI,2,2017,2
Benton,AUDI,2,2021,4
Benton,AUDI,3,2016,2
Benton,AUDI,3,2017,1
Benton,AUDI,3,2020,4
Benton,AUDI,4,2016,2
Benton,AUDI,5,2021,2
Benton,AUDI,7,2020,2
Benton,AUDI,9,2019,2
Benton,BMW,1,2014,1
Benton,BMW,1,2015,4
Benton,BMW,1,2016,1
Benton,BMW,1,2017,7
Benton,BMW,1,2018,4
Benton,BMW,1,2019,2
Benton,BMW,1,2021,2
Benton,BMW,2,2014,5
Benton,BMW,2,2015,2
Benton,BMW,2,2016,4
Benton,BMW,2,2017,4
Benton,BMW,2,2019,1
Benton,BMW,2,2021,2
Benton,BMW,3,2014,3
Benton,BMW,3,2016,2
Benton,BMW,3,2017,1
Benton,BMW,3,2018,4
Benton,BMW,3,2021,2
Benton,BMW,4,2014,6
Benton,BMW,4,2015,4
Benton,BMW,4,2016,1
Benton,BMW,4,2017,6
Benton,BMW,5,2014,1
Benton,BMW,5,2015,8
Benton,BMW,5,2017,2
Benton,BMW,5,2018,2
Benton,BMW,6,2014,5
Benton,BMW,6,2017,6
Benton,BMW,7,2014,2
Benton,BMW,7,2015,3
Benton,BMW,7,2016,3
Benton,BMW,7,2017,4
Benton,BMW,7,2018,1
Benton,BMW,8,2014,2
Benton,BMW,8,2015,2
Benton,BMW,8,2016,8
Benton,BMW,8,2017,2
Benton,BMW,8,2018,3
Benton,BMW,9,2014,5
Benton,BMW,9,2015,4
Benton,BMW,9,2016,5
Benton,BMW,9,2017,2
Benton,BMW,9,2021,6
Benton,BMW,10,2015,3
Benton,BMW,10,2017,4
Benton,BMW,10,2020,2
Benton,BMW,11,2014,11
Benton,BMW,11,2015,5
Benton,BMW,11,2017,3
Benton,BMW,11,2018,5
Benton,BMW,12,2014,9
Benton,BMW,12,2015,2
Benton,BMW,12,2016,5
Benton,BMW,12,2017,4
Benton,BMW,12,2018,6
Benton,CADILLAC,1,2014,4
Benton,CADILLAC,2,2014,1
Benton,CADILLAC,3,2014,5
Benton,CADILLAC,4,2014,2
Benton,CADILLAC,7,2014,1
Benton,CADILLAC,8,2014,5
Benton,CADILLAC,9,2014,4
Benton,CADILLAC,10,2014,6
Benton,CADILLAC,11,2014,2
Benton,CADILLAC,12,2014,1
Benton,CADILLAC,12,2018,2
Benton,CHEVROLET,1,2011,1
Benton,CHEVROLET,1,2012,5
Benton,CHEVROLET,1,2013,8
Benton,CHEVROLET,1,2014,3
Benton,CHEVROLET,1,2015,5
Benton,CHEVROLET,1,2016,7
Benton,CHEVROLET,1,2017,28
Benton,CHEVROLET,1,2018,12
Benton,CHEVROLET,1,2019,2
Benton,CHEVROLET,1,2020,11
Benton,CHEVROLET,2,2011,2
Benton,CHEVROLET,2,2012,2
Benton,CHEVROLET,2,2013,18
Benton,CHEVROLET,2,2014,4
Benton,CHEVROLET,2,2016,3
Benton,CHEVROLET,2,2017,19
Benton,CHEVROLET,2,2018,3
Benton,CHEVROLET,2,2019,3
Benton,CHEVROLET,2,2020,3
Benton,CHEVROLET,3,2011,2
Benton,CHEVROLET,3,2012,6
Benton,CHEVROLET,3,2013,18
Benton,CHEVROLET,3,2014,15
Benton,CHEVROLET,3,2015,11
Benton,CHEVROLET,3,2017,9
Benton,CHEVROLET,3,2018,3
Benton,CHEVROLET,3,2019,3
Benton,CHEVROLET,3,2021,4
Benton,CHEVROLET,4,2011,5
Benton,CHEVROLET,4,2012,17
Benton,CHEVROLET,4,2013,13
Benton,CHEVROLET,4,2014,12
Benton,CHEVROLET,4,2015,16
Benton,CHEVROLET,4,2016,12
Benton,CHEVROLET,4,2017,14
Benton,CHEVROLET,4,2018,9
Benton,CHEVROLET,4,2019,6
Benton,CHEVROLET,4,2020,4
Benton,CHEVROLET,4,2021,2
Benton,CHEVROLET,5,2011,4
Benton,CHEVROLET,5,2012,16
Benton,CHEVROLET,5,2013,15
Benton,CHEVROLET,5,2014,5
Benton,CHEVROLET,5,2015,11
Benton,CHEVROLET,5,2016,4
Benton,CHEVROLET,5,2017,12
Benton,CHEVROLET,5,2018,7
Benton,CHEVROLET,5,2019,1
Benton,CHEVROLET,5,2021,6
Benton,CHEVROLET,6,2012,19
Benton,CHEVROLET,6,2013,10
Benton,CHEVROLET,6,2014,4
Benton,CHEVROLET,6,2015,11
Benton,CHEVROLET,6,2016,3
Benton,CHEVROLET,6,2017,14
Benton,CHEVROLET,6,2019,2
