county,make,quartile,model_year,vehicle_count
Benton,AUDI,1,2016,2
Benton,AUDI,1,2017,5
Benton,AUDI,1,2020,5
Benton,AUDI,1,2021,4
Benton,AUDI,2,2016,2
Benton,AUDI,2,2021,2
Benton,AUDI,3,2019,2
Benton,AUDI,3,2020,2
Benton,BMW,1,2014,9
Benton,BMW,1,2015,6
Benton,BMW,1,2016,7
Benton,BMW,1,2017,12
Benton,BMW,1,2018,8
Benton,BMW,1,2019,3
Benton,BMW,1,2021,6
Benton,BMW,2,2014,12
Benton,BMW,2,2015,12
Benton,BMW,2,2016,1
Benton,BMW,2,2017,14
Benton,BMW,2,2018,2
Benton,BMW,3,2014,9
Benton,BMW,3,2015,9
Benton,BMW,3,2016,16
Benton,BMW,3,2017,8
Benton,BMW,3,2018,4
Benton,BMW,3,2021,6
Benton,BMW,4,2014,20
Benton,BMW,4,2015,10
Benton,BMW,4,2016,5
Benton,BMW,4,2017,11
Benton,BMW,4,2018,11
Benton,BMW,4,2020,2
Benton,CADILLAC,1,2014,10
Benton,CADILLAC,2,2014,2
Benton,CADILLAC,3,2014,10
Benton,CADILLAC,4,2014,9
Benton,CADILLAC,4,2018,2
Benton,CHEVROLET,1,2011,5
Benton,CHEVROLET,1,2012,13
Benton,CHEVROLET,1,2013,44
Benton,CHEVROLET,1,2014,22
Benton,CHEVROLET,1,2015,16
Benton,CHEVROLET,1,2016,10
Benton,CHEVROLET,1,2017,56
Benton,CHEVROLET,1,2018,18
Benton,CHEVROLET,1,2019,8
Benton,CHEVROLET,1,2020,14
Benton,CHEVROLET,1,2021,4
Benton,CHEVROLET,2,2011,9
Benton,CHEVROLET,2,2012,52
Benton,CHEVROLET,2,2013,38
Benton,CHEVROLET,2,2014,21
Benton,CHEVROLET,2,2015,38
Benton,CHEVROLET,2,2016,19
Benton,CHEVROLET,2,2017,40
Benton,CHEVROLET,2,2018,16
Benton,CHEVROLET,2,2019,9
Benton,CHEVROLET,2,2020,4
Benton,CHEVROLET,2,2021,8
Benton,CHEVROLET,3,2012,36
Benton,CHEVROLET,3,2013,22
Benton,CHEVROLET,3,2014,36
Benton,CHEVROLET,3,2015,17
Benton,CHEVROLET,3,2016,9
Benton,CHEVROLET,3,2017,67
Benton,CHEVROLET,3,2018,5
Benton,CHEVROLET,3,2019,21
Benton,CHEVROLET,3,2020,2
Benton,CHEVROLET,4,2012,40
Benton,CHEVROLET,4,2013,63
Benton,CHEVROLET,4,2014,24
Benton,CHEVROLET,4,2015,26
Benton,CHEVROLET,4,2016,15
Benton,CHEVROLET,4,2017,97
Benton,CHEVROLET,4,2018,9
Benton,CHEVROLET,4,2019,18
Benton,CHEVROLET,4,2020,12
Benton,CHRYSLER,1,2018,9
Benton,CHRYSLER,1,2019,2
Benton,CHRYSLER,1,2020,4
Benton,CHRYSLER,1,2021,4
Benton,CHRYSLER,2,2018,13
Benton,CHRYSLER,2,2019,3
Benton,CHRYSLER,2,2021,8
Benton,CHRYSLER,3,2017,1
Benton,CHRYSLER,3,2018,13
Benton,CHRYSLER,3,2019,4
Benton,CHRYSLER,3,2020,4
Benton,CHRYSLER,4,2017,9
Benton,CHRYSLER,4,2018,22
Benton,CHRYSLER,4,2020,7
Benton,FIAT,1,2017,3
Benton,FIAT,2,2016,2
Benton,FIAT,4,2013,2
Benton,FIAT,4,2017,2
Benton,FISKER,2,2012,2
Benton,FORD,1,2013,53
Benton,FORD,1,2014,18
Benton,FORD,1,2015,20
Benton,FORD,1,2016,44
Benton,FORD,1,2017,26
Benton,FORD,1,2018,2
Benton,FORD,1,2019,4
Benton,FORD,1,2021,6
Benton,FORD,2,2013,72
Benton,FORD,2,2014,19
Benton,FORD,2,2015,11
Benton,FORD,2,2016,34
Benton,FORD,2,2017,5
Benton,FORD,2,2018,8
Benton,FORD,2,2019,1
