county,make,model_year,vehicle_count
Benton,AUDI,2016,4
Benton,AUDI,2017,5
Benton,AUDI,2019,2
Benton,AUDI,2020,7
Benton,AUDI,2021,6
Benton,BMW,2014,50
Benton,BMW,2015,37
Benton,BMW,2016,29
Benton,BMW,2017,45
Benton,BMW,2018,25
Benton,BMW,2019,3
Benton,BMW,2020,2
Benton,BMW,2021,12
Benton,CADILLAC,2014,31
Benton,CADILLAC,2018,2
Benton,CHEVROLET,2011,14
Benton,CHEVROLET,2012,141
Benton,CHEVROLET,2013,167
Benton,CHEVROLET,2014,103
Benton,CHEVROLET,2015,97
Benton,CHEVROLET,2016,53
Benton,CHEVROLET,2017,260
Benton,CHEVROLET,2018,48
Benton,CHEVROLET,2019,56
Benton,CHEVROLET,2020,32
Benton,CHEVROLET,2021,12
Benton,CHRYSLER,2017,10
Benton,CHRYSLER,2018,57
Benton,CHRYSLER,2019,9
Benton,CHRYSLER,2020,15
Benton,CHRYSLER,2021,12
Benton,FIAT,2013,2
Benton,FIAT,2016,2
Benton,FIAT,2017,5
Benton,FISKER,2012,2
Benton,FORD,2013,230
Benton,FORD,2014,87
Benton,FORD,2015,77
Benton,FORD,2016,143
Benton,FORD,2017,77
Benton,FORD,2018,14
Benton,FORD,2019,18
Benton,FORD,2020,4
Benton,FORD,2021,12
Benton,HONDA,2018,77
Benton,HONDA,2019,2
Benton,HYUNDAI,2016,46
Benton,HYUNDAI,2017,2
Benton,HYUNDAI,2018,5
Benton,HYUNDAI,2019,7
Benton,HYUNDAI,2021,4
Benton,JAGUAR,2019,5
Benton,JAGUAR,2020,2
Benton,KIA,2016,16
Benton,KIA,2017,76
Benton,KIA,2018,8
Benton,KIA,2019,17
Benton,LINCOLN,2020,3
Benton,MINI,2018,2
Benton,MINI,2019,3
Benton,MITSUBISHI,2012,9
Benton,MITSUBISHI,2014,16
Benton,MITSUBISHI,2016,6
Benton,MITSUBISHI,2018,16
Benton,MITSUBISHI,2019,8
Benton,MITSUBISHI,2020,6
Benton,NISSAN,2011,177
Benton,NISSAN,2012,207
Benton,NISSAN,2013,226
Benton,NISSAN,2014,90
Benton,NISSAN,2015,127
Benton,NISSAN,2016,94
Benton,NISSAN,2017,26
Benton,NISSAN,2018,45
Benton,NISSAN,2019,20
Benton,NISSAN,2020,10
Benton,PORSCHE,2016,6
Benton,PORSCHE,2018,2
Benton,PORSCHE,2019,2
Benton,PORSCHE,2020,2
Benton,SMART,2013,10
Benton,SMART,2014,3
Benton,SUBARU,2019,11
Benton,TESLA,2010,4
Benton,TESLA,2012,18
Benton,TESLA,2013,48
Benton,TESLA,2014,69
Benton,TESLA,2015,79
Benton,TESLA,2016,61
Benton,TESLA,2017,63
Benton,TESLA,2018,290
Benton,TESLA,2019,163
Benton,TESLA,2020,214
Benton,TESLA,2021,90
Benton,TOYOTA,2012,66
Benton,TOYOTA,2013,3
Benton,TOYOTA,2014,19
Benton,TOYOTA,2017,86
Benton,TOYOTA,2018,55
Benton,TOYOTA,2019,11
Benton,TOYOTA,2020,23
Benton,TOYOTA,2021,20
Benton,VOLKSWAGEN,2015,7
Benton,VOLKSWAGEN,2016,2
Benton,VOLKSWAGEN,2019,8
Benton,VOLKSWAGEN,2021,4
Benton,VOLVO,2016,6
Benton,VOLVO,2017,8
Benton,VOLVO,2018,4
Benton,VOLVO,2019,6
Clark,AUDI,2016,27
Clark,AUDI,2017,24
Clark,AUDI,2018,29
Clark,AUDI,2019,71
Clark,AUDI,2020,28
Clark,AUDI,2021,42
Clark,BMW,2014,172
Clark,BMW,2015,186
Clark,BMW,2016,176
Clark,BMW,2017,237
Clark,BMW,2018,181
Clark,BMW,2019,49
Clark,BMW,2020,21
Clark,BMW,2021,24
Clark,CADILLAC,2014,25
Clark,CADILLAC,2016,7
Clark,CHEVROLET,2011,15
Clark,CHEVROLET,2012,486
Clark,CHEVROLET,2013,546
Clark,CHEVROLET,2014,462
Clark,CHEVROLET,2015,237
Clark,CHEVROLET,2016,158
Clark,CHEVROLET,2017,890
Clark,CHEVROLET,2018,211
Clark,CHEVROLET,2019,149
Clark,CHEVROLET,2020,170
Clark,CHEVROLET,2021,30
Clark,CHRYSLER,2017,16
Clark,CHRYSLER,2018,128
Clark,CHRYSLER,2019,23
Clark,CHRYSLER,2020,44
Clark,CHRYSLER,2021,32
Clark,FIAT,2013,31
Clark,FIAT,2014,46
Clark,FIAT,2015,95
Clark,FIAT,2016,44
Clark,FIAT,2017,34
Clark,FISKER,2012,18
Clark,FORD,2012,4
Clark,FORD,2013,458
Clark,FORD,2014,424
Clark,FORD,2015,298
Clark,FORD,2016,326
Clark,FORD,2017,321
Clark,FORD,2018,32
Clark,FORD,2019,43
Clark,FORD,2020,13
Clark,FORD,2021,62
Clark,HONDA,2014,2
Clark,HONDA,2018,196
Clark,HONDA,2019,3
Clark,HONDA,2020,17
Clark,HONDA,2021,10
Clark,HYUNDAI,2016,263
Clark,HYUNDAI,2017,4
Clark,HYUNDAI,2018,6
Clark,HYUNDAI,2019,43
Clark,HYUNDAI,2020,47
Clark,HYUNDAI,2021,24
Clark,JAGUAR,2019,27
Clark,JEEP,2021,14
Clark,KIA,2015,5
Clark,KIA,2016,94
Clark,KIA,2017,594
Clark,KIA,2018,85
Clark,KIA,2019,155
Clark,KIA,2020,47
Clark,LAND ROVER,2020,3
Clark,LINCOLN,2020,10
Clark,MERCEDES-BENZ,2014,22
Clark,MERCEDES-BENZ,2015,8
Clark,MERCEDES-BENZ,2016,13
Clark,MERCEDES-BENZ,2017,10
Clark,MERCEDES-BENZ,2018,18
Clark,MERCEDES-BENZ,2019,51
Clark,MERCEDES-BENZ,2020,3
Clark,MINI,2018,5
Clark,MINI,2019,13
Clark,MINI,2021,21
Clark,MITSUBISHI,2012,53
Clark,MITSUBISHI,2014,14
Clark,MITSUBISHI,2017,6
Clark,MITSUBISHI,2018,83
Clark,MITSUBISHI,2019,25
Clark,MITSUBISHI,2020,8
Clark,NISSAN,2011,559
Clark,NISSAN,2012,714
Clark,NISSAN,2013,1692
Clark,NISSAN,2014,336
Clark,NISSAN,2015,915
Clark,NISSAN,2016,452
Clark,NISSAN,2017,206
Clark,NISSAN,2018,240
Clark,NISSAN,2019,162
Clark,NISSAN,2020,72
Clark,NISSAN,2021,24
Clark,POLESTAR,2021,2
Clark,PORSCHE,2014,6
Clark,PORSCHE,2015,19
Clark,PORSCHE,2016,20
Clark,PORSCHE,2017,18
Clark,PORSCHE,2018,15
Clark,PORSCHE,2019,6
Clark,PORSCHE,2020,22
Clark,PORSCHE,2021,2
Clark,SMART,2013,23
Clark,SMART,2014,98
Clark,SMART,2015,58
Clark,SMART,2016,9
Clark,SMART,2017,26
Clark,SMART,2018,14
Clark,SUBARU,2019,6
Clark,TESLA,2010,16
Clark,TESLA,2012,47
Clark,TESLA,2013,386
Clark,TESLA,2014,261
Clark,TESLA,2015,418
Clark,TESLA,2016,548
Clark,TESLA,2017,491
Clark,TESLA,2018,1607
Clark,TESLA,2019,832
Clark,TESLA,2020,848
Clark,TESLA,2021,515
Clark,TH!NK,2011,17
Clark,TOYOTA,2012,294
Clark,TOYOTA,2013,136
