Category,PMID,Title,Authors,Year,Abstract,Title Length,Abstract Length,Link
Cancer,40176202,Alternative regimen for chemotherapy-intolerant lymphoma including practical aspects in Japan.,"Ohmoto A, Fuji S",2025,"INTRODUCTION: With the increasing number of elderly patients with lymphoma and the emergence of novel agents, clinical investigations for patients considered intolerant to conventional cytotoxic chemotherapy are receiving more focus than before.
AREAS COVERED: This review aims to provide an overview of systemic treatment for patients with lymphoma who are intolerant to conventional chemotherapy, including practical aspects in Japan.
EXPERT OPINION: Traditional approaches include dose reduction (e.g. mini-CHOP) or non-anthracycline regimens (e.g. CVP or bendamustine-based regimens) to reduce the risk of cardiotoxicity. A recent trend is the combination of molecular-targeted agents, such as lenalidomide plus rituximab in B-cell lymphoma. However, maintaining durable responses remains a major challenge. In the future, clinical trials in elderly or frail patients are expected to investigate novel agents such as antibody-drug conjugates or bispecific T-cell engagers. In addition, comprehensive geriatric assessment for tailored therapeutic intervention or dose optimization strategies based on individual genomic data is expected in the context of prospective studies.",94,1178,https://pubmed.ncbi.nlm.nih.gov/40176202/
Cancer,40176194,Feasibility of an exercise program in endocrine-treated metastatic breast cancer patients with overweight: protocol for the FEMA study.,"Wissing M, Skovlund P, Drysdale S, Amidi A, Zachariae R, Laurberg T, Borgquist S",2025,"BACKGROUND: Many patients with metastatic breast cancer can live relatively long lives but are challenged by treatment- and cancer-related side effects such as weight gain, physical deconditioning, and reduced quality of life, possibly affecting survival. In particular, endocrine treatments are associated with an increased risk of weight gain and adverse metabolic effects. There is a need for interventions to prevent side effects among patients with disseminated breast cancer. Exercise is found to be effective in improving quality of life, metabolic health, and body composition in the curative setting, yet evidence in the metastatic setting is sparse. The aim of this study is to assess feasibility of a 12-week exercise intervention for metastatic breast cancer patients with overweight receiving endocrine therapy and to explore potential effects on metabolic health, body composition, physical performance, obesity-related biomarkers, and patient-reported outcomes.
METHODS: The FEMA study is a randomized controlled feasibility trial in which 21 endocrine-treated patients with metastatic breast cancer and overweight will be randomly assigned in a 2:1 ratio to either a 12-week training program with three weekly training sessions (intervention), or usual care (control), which includes standard clinical follow-up and supportive care without structured exercise. Feasibility will be assessed based on recruitment rate, adherence, retention, and acceptability, employing both quantitative and qualitative approaches for data collection. Participants' experiences will be explored by interviews and analyzed based on content analysis. Data are collected from blood samples, bioelectrical impedance analysis, physical performance tests, blood pressure measurements, and validated questionnaires on health-related quality of life, self-efficacy for coping with cancer, and sleep quality for explorative analyses.
DISCUSSION: The planned study will allow us to determine whether this 12-week exercise intervention is feasible in endocrine-treated metastatic breast cancer patients with overweight and explore potential effects on metabolic health, body composition, physical performance, obesity-related biomarkers, and patient-reported outcomes. Information from feasibility outcomes will inform the design of a future definitive randomized controlled trial.
TRIAL REGISTRATION: Retrospectively registered on March 6, 2024, at ClinicalTrials.gov (NCT06343987).",135,2470,https://pubmed.ncbi.nlm.nih.gov/40176194/
Cancer,40176185,Deep learning-based reconstruction and superresolution for MR-guided thermal ablation of malignant liver lesions.,"Winkelmann MT, Kübler J, Gassenmaier S, Nickel DM, Ashkar A, Nikolaou K, Afat S, Hoffmann R",2025,"OBJECTIVE: This study evaluates the impact of deep learning-enhanced T1-weighted VIBE sequences (DL-VIBE) on image quality and procedural parameters during MR-guided thermoablation of liver malignancies, compared to standard VIBE (SD-VIBE).
METHODS: Between September 2021 and February 2023, 34 patients (mean age: 65.4 years; 13 women) underwent MR-guided microwave ablation on a 1.5 T scanner. Intraprocedural SD-VIBE sequences were retrospectively processed with a deep learning algorithm (DL-VIBE) to reduce noise and enhance sharpness. Two interventional radiologists independently assessed image quality, noise, artifacts, sharpness, diagnostic confidence, and procedural parameters using a 5-point Likert scale. Interrater agreement was analyzed, and noise maps were created to assess signal-to-noise ratio improvements.
RESULTS: DL-VIBE significantly improved image quality, reduced artifacts and noise, and enhanced sharpness of liver contours and portal vein branches compared to SD-VIBE (p < 0.01). Procedural metrics, including needle tip detectability, confidence in needle positioning, and ablation zone assessment, were significantly better with DL-VIBE (p < 0.01). Interrater agreement was high (Cohen κ = 0.86). Reconstruction times for DL-VIBE were 3 s for k-space reconstruction and 1 s for superresolution processing. Simulated acquisition modifications reduced breath-hold duration by approximately 2 s.
CONCLUSION: DL-VIBE enhances image quality during MR-guided thermal ablation while improving efficiency through reduced processing and acquisition times.",113,1578,https://pubmed.ncbi.nlm.nih.gov/40176185/
Cancer,40176184,Advocating for collaboration among key partners to promote diversity in clinical studies amid policy challenges in the United States of America.,"Byiringiro S, Garcia JK, Farrell N, Ogungbe B, Barsha RAA, Miller HN, Whitaker E, Wang P, Rosa WE, Bierer BE, Himmelfarb CR, Michos ED, De Lombaert K, Berdichesky M, Busque S, Palaniappan L, Lewis E, Rodriguez F, Valantine H",2025,"The lack of diversity in clinical studies has significant ethical and health consequences, limiting the development of effective treatments for diverse populations. Homogeneous participation in clinical studies contributes to health disparities, particularly among historically underrepresented groups in the United States (US). Racial, ethnic, and other minoritized populations have long been excluded from clinical research. In response, the US Congress mandated the National Institutes of Health to assess the impacts of insufficient diversity in clinical studies. Despite efforts by the government, non-profit organizations, and industry players to improve diversity in clinical studies, progress has been slow due to fragmented approaches. For instance, the new US administration (2025) has recently released executive orders which threaten to reverse the progress made in inclusive clinical research. The Stanford Think Tank on Diversity and Equity in Clinical Trials, held in September 2023, brought together key partners across multiple sectors and professions to discuss barriers and explore potential solutions to participation in clinical studies. In this commentary, we discuss the importance of collaborative, inclusive strategies in clinical study design to advance equitable health outcomes for all. Further, we discuss potential implications of the government's dismissal of diversity, equity, and inclusion initiatives on diverse research participation.",144,1470,https://pubmed.ncbi.nlm.nih.gov/40176184/
Cancer,40176183,The association between fruit and vegetable intake and the odds of asthma among children and adolescents.,"Rostampour K, Sasanfar B, Reshadfar A, Emarati A, Nafei Z, Behniafard N, Hashemi-Bajgani SM, Salehi-Abargouei A",2025,"BACKGROUND: Previous epidemiological studies on the correlation between fruit and vegetable consumption and asthma, the majority of them were conducted in developed countries, have led to conflicting results. This study aimed to examine the relationship between fruit and vegetable intake and the risk of asthma among a large sample of children and adolescents.
METHODS: This cross-sectional study was conducted as part of the Global Asthma Network (GAN) on 7667 Iranian children and adolescents. Asthma and its related outcomes were measured using validated questionnaires. A food frequency method was used to assess the dietary intake. The association between fruit and vegetable intake and asthma and its related symptoms was examined using logistic regression.
RESULTS: After adjustment for all possible confounding variables, no significant association was found between fruit and vegetable intake and the odds of medication use for asthma and asthma confirmed by a doctor. However, an inverse significant trend was found between fruits intake and current asthma. After adjusting for age, sex, BMI, and the use of television and computers, participants who regularly consumed fruit had a 37% lower likelihood of experiencing wheezing in the past 12 months (OR = 0.63; 95% CI: 0.42-0.94, P trend = 0.001) compared to those who never or only occasionally consumed fruit. Additionally, individuals who reported consuming vegetables most or all days had a 38% reduced chance of wheezing in the past 12 months (OR = 0.62; 95% CI: 0.48-0.80, P trend < 0.001) compared to participants with infrequent vegetable intake. Participants with regular fruit and vegetable intake combined (OR = 0.50; 95% CI: 0.31-0.82, P trend < 0.001) had a 50% lower likelihood of wheezing in the past 12 months in comparison with those who never or only occasionally fruits and vegetables combined consumers.
CONCLUSION: Our findings suggest that regular consumption of fruits and vegetables on most or all days has a protective effect against wheezing in the past 12 months. Future longitudinal studies should be conducted to confirm our findings.",105,2125,https://pubmed.ncbi.nlm.nih.gov/40176183/
Cancer,40176181,Modified screening of MYC promotor region elements using the CRISPR library in ovarian cancer.,"Yamamoto A, Tanaka Y, Ishibashi S, Ikeda M, Sugita K, Ono M, Nishi H, Kurata M",2025,"Ovarian cancer remains one of the most lethal gynecological malignancies owing to its high recurrence rate and chemotherapeutic resistance. MYC is a well-known proto-oncogene that is frequently amplified in ovarian cancer and has been implicated in drug resistance. Previously, we established a new promoter-reporter system combined with a CRISPR activation library to identify unknown MYC regulators, and M1AP was identified as a novel MYC regulator. However, considering the insufficient explanation for the absence of guide RNA (gRNA) of MYC, this present study explored methods to prevent the gRNA of MYC itself from binding. This study first modified the promoter-reporter vector to improve its quality, then conducted CRISPR screening and analyzed candidate genes as MYC promoter regulators using next-generation sequencing in OVSAHO ovarian cancer cells. Eighty-six genes had ≥ 1000 reads, and Pearson's correlation coefficient analysis was performed on the cBioPortal of the Cancer Genomics database. Fourteen genes were identified as candidate MYC regulators with positive and significant correlations with MYC. Seven genes, including CYP4v2, ASPH, ANP32D, PCED1A, ABI1, FUZ, and HOOK2, demonstrated significantly higher luciferase activity than the control genes. Four genes, including ABI1, PCED1A, HOOK2, and CYP4v2, activated the MYC promoter, which showed over twofold higher activity than the control when overexpressed using a vector. In conclusion, four genes that activate MYC promoters were identified in an ovarian cancer cell line using the CRISPR library system with a modified promoter-reporter tool. These results will prove helpful in the development of novel treatment strategies for ovarian cancer.",94,1725,https://pubmed.ncbi.nlm.nih.gov/40176181/
Cancer,40176173,Methylome-wide association analyses of lipids and modifying effects of behavioral factors in diverse race and ethnicity participants.,"Hu Y, Haessler J, Lundin JI, Darst BF, Whitsel EA, Grove M, Guan W, Xia R, Szeto M, Raffield LM, Ratliff S, Wang Y, Wang X, Fohner AE, Lynch MT, Patel YM, Lani Park S, Xu H, Mitchell BD, Bis JC, Sotoodehnia N, Brody JA, Psaty BM, Peloso GM, Tsai MY, Rich SS, Rotter JI, Smith JA, Kardia SLR, Reiner AP, Lange L, Fornage M, Pankow JS, Graff M, North KE, Kooperberg C, Peters U",2025,"Circulating lipid concentrations are clinically associated with cardiometabolic diseases. The phenotypic variance explained by identified genetic variants remains limited, highlighting the importance of searching for additional factors beyond genetic sequence variants. DNA methylation has been linked to lipid concentrations in previous studies, although most of the studies harbored moderate sample sizes and exhibited underrepresentation of non-European ancestry populations. In addition, knowledge of nongenetic factors on lipid profiles is extremely limited. In the Population Architecture Using Genomics and Epidemiology (PAGE) Study, we performed methylome-wide association analysis on 9,561 participants from diverse race and ethnicity backgrounds for HDL-c, LDL-c, TC, and TG levels, and also tested interactions between smoking or alcohol intake and methylation in their association with lipid levels. We identified novel CpG sites at 16 loci (P < 1.18E-7) with successful replication on 3,215 participants. One additional novel locus was identified in the self-reported White participants (P = 4.66E-8). Although no additional CpG sites were identified in the genome-wide interaction analysis, 13 reported CpG sites showed significant heterogeneous association across smoking or alcohol intake strata. By mapping novel and reported CpG sites to genes, we identified enriched pathways directly linked to lipid metabolism as well as ones spanning various biological functions. These findings provide new insights into the regulation of lipid concentrations.",133,1566,https://pubmed.ncbi.nlm.nih.gov/40176173/
Cancer,40176156,IL13RA2-integrated genetically engineered mouse model allows for CAR T cells targeting pediatric high-grade gliomas.,"Seblani M, Zannikou M, Duffy JT, Joshi T, Levine RN, Thakur A, Puigdelloses-Vallcorba M, Horbinski CM, Miska J, Hambardzumyan D, Becher OJ, Balyasnikova IV",2025,"Pediatric high-grade gliomas (pHGG) and pediatric diffuse midline gliomas (pDMG) are devastating diseases without durable and curative options. Although targeted immunotherapy has shown promise, the field lacks immunocompetent animal models to study these processes in detail. To achieve this, we developed a fully immunocompetent, genetically engineered mouse model (GEMM) for pDMG and pHGG that incorporates the glioma-associated antigen, interleukin 13 receptor alpha 2 (IL13RA2). Utilizing the RCAS-Tva delivery system in Nestin-Tva mice, we induced gliomagenesis by overexpressing PDGFB and deleting p53 (p53fl/fl) or both p53 and PTEN (p53fl/fl PTENfl/fl), with or without IL13RA2 in neonatal mice. De novo tumors developed in models with and without IL13RA2, showing no statistical difference in onset (n = 33, 38 days, p = 0.62). The p53fl/fl PTENfl/fl tumors displayed more aggressive characteristics (n = 12, 31 days). Tumors exhibited features typical of high-grade glioma, including infiltration, pseudopalisading necrosis, and microvascular proliferation. They also showed a high Ki-67 index, variable IL13RA2 expression, a high frequency of CD11b + macrophages, and a low proportion of CD3 + T cells. The model proved effective for evaluating IL13RA2-targeted immunotherapies, with a significant response to CAR T-cell treatment that extended survival (46 days vs. 28 days control; p &lt; 0.0001) and achieved 25% long-term survival in mice. This model facilitates the preclinical assessment of IL13RA2-directed therapies and holds potential for clinical application.",116,1581,https://pubmed.ncbi.nlm.nih.gov/40176156/
Cancer,40176155,The Chinese version of the autonomy preference index for advanced cancer patients: a study on cultural adaptation based on cognitive interview.,"Yan C, Li Y, Ai J, Yang S",2025,"BACKGROUND: The global cancer burden is becoming increasingly severe. In the context of patient-centred medicine, respecting patients' autonomy and preferences is of paramount importance. However, there is currently a lack of scientific tools in China to measure the autonomous preferences of advanced cancer patients. We aim to optimise assessment tools for patients' autonomous preferences and validate their effectiveness, thereby filling a gap in related research, in hopes of improving the quality of medical care in China.
OBJECTIVES: ① To assess the semantic clarity of entries of the Chinese Autonomy Preference Index (API) and determine whether patients can accurately comprehend their content. ② To validate the application effect of cognitive interviews in the translation of the scale into the Chinese culture and context.
METHODS: In March and April 2023, we selected 17 advanced cancer patients by convenience sampling in Zunyi, Guizhou, China, to participate in this study. We assessed their understanding of each item in the Chinese API scale through cognitive interviews and made the corresponding revisions to the scale items based on the interview results.
RESULTS: The respondents' understanding of various API entries after translation and adaptation was assessed. Based on the interview results, ambiguous entries were revised to create a refined Chinese version of the API. Ultimately, the API comprises two dimensions and 23 entries. The results of the first round of interviews revealed doubts or ambiguities in the semantic expression and understanding of 5 items, which were then revised following discussions by the research team. The second round of interviews confirmed that the interviewees could correctly understand the content of the entries without further modifications.
CONCLUSIONS: ① Cognitive interviews can address discrepancies in the understanding of scale items among the target population and mitigate measurement errors stemming from item content ambiguity. ② Targeted questionnaire revisions have improved the accuracy, reliability, and applicability of the Chinese version of the API questionnaire. The Chinese version of the Autonomy-Preference-Index offers clinical healthcare professionals an effective measurement tool to assess the autonomous preferences of advanced cancer patients.",143,2335,https://pubmed.ncbi.nlm.nih.gov/40176155/
Cancer,40176150,Association between periodontitis and gastrointestinal cancer risk and prognosis: evidence from a nested case-control study in Southwest China.,"Luo T, Li J, Pu K, Yang G",2025,"BACKGROUND: With low early detection rates and high incidence and mortality, Gastrointestinal cancer (GIC) imposes a significant global health burden. Emerging evidence indicates that periodontitis may be a potential risk factor for GIC development; however, epidemiological data remains inconclusive.
OBJECTIVE: This study aimed to examine the impact of periodontitis on the incidence, recurrence, and metastasis of GIC in Southwest China, thereby offering epidemiological evidence to support GIC prevention and management.
METHODS: Between September 2022 and August 2024, a case-control study was conducted at the Affiliated Hospital of North Sichuan Medical College. Five hundred GIC patients were included as the case group based on the predefined inclusion and exclusion criteria, while 1005 healthy individuals were recruited for the control group. Multivariate analyses were performed to examine the associations between periodontitis and GIC incidence, recurrence, and metastasis while controlling for potential confounding factors.
RESULTS: The results of this study demonstrated that periodontitis was significantly associated with the incidence of esophageal, gastric, and colorectal cancer. Even after adjusting for potential confounders, it remained a significant risk factor for esophageal cancer (OR = 2.810, 95% CI 1.032-7.649, P = 0.043), colon cancer (OR = 2.330, 95% CI 1.072-5.067, P = 0.033), and rectal cancer (OR = 2.730, 95% CI 1.247-5.379, P = 0.012). Compared to non-periodontitis subjects, periodontitis showed a significant association with distant metastasis of rectal cancer (aHR = 5.332, 95% CI 1.406-20.220, P = 0.014). Moreover, severe periodontitis was identified as an risk factor for distant metastasis in rectal cancer (aHR = 10.138, 95% CI 1.824-56.354, P = 0.008).
CONCLUSION: This study highlights significant associations between periodontitis and an increased risk of esophageal and colorectal cancers. Additionally, patients with rectal cancer and periodontitis exhibited an increased risk of distant metastasis compared to those without periodontitis.",143,2095,https://pubmed.ncbi.nlm.nih.gov/40176150/
