Sample Size,Method,Replace,Mean,Median,Mode
30,random,True,51360.03333333333,57815.0,59855
30,random,True,54585.46666666667,59790.0,97654
30,random,False,51701.63333333333,45597.0,4957
30,random,False,67945.66666666667,76489.5,5478
30,proportional,True,54938.23333333333,61583.0,17587
30,proportional,True,63954.23333333333,76611.5,86326
40,random,True,58664.825,65654.5,48926
40,random,True,57842.375,61653.0,28417
40,random,True,52295.35,53882.0,3574
40,random,False,62399.6,70297.5,4957
40,random,False,59454.775,68344.0,3483
40,random,False,55056.5,63759.0,2647
40,proportional,True,67439.425,79262.5,85020
40,proportional,True,55107.55,63759.0,74736
40,proportional,True,58118.7,61467.0,4957
